I1,I2,E,T1,T2,T3,T4,T5,T6,T7
7,4.93,7,5.06,2.64,3.42,7,5.94,7,3.12
7,6.2,7,5.16,4.72,7,7,7,1.49,7
1.62,2.66,2.96,6.97,7,7,3.09,6.78,3.05,5.99
7,4.59,7,4.94,3.81,2.89,6.51,4.66,7,5.61
2.51,7,5.07,6.62,3.51,2.46,6.94,3.32,4.49,7
7,7,5.38,3.12,7,2.84,7,7,6.91,3.83
4.32,1.83,5.41,3.86,2.73,3.0,5.46,6.49,3.67,1.92
7,3.43,2.55,7,7,7,1.97,2.72,2.59,7
7,6.18,3.14,2.76,7,2.34,2.41,7,6.24,7
4.13,7,1.65,7,7,6.8,7,7,2.0,7
4.76,2.51,3.15,1.95,3.61,5.21,1.5,7,7,1.75
4.33,6.61,7,7,7,7,5.6,3.09,7,5.26
7,4.84,7,7,7,5.23,7,6.32,7,7
6.32,6.17,7,3.33,7,3.37,1.69,3.19,7,6.86
4.71,3.06,7,3.43,3.61,6.32,2.87,3.95,2.15,5.97
2.88,4.29,6.17,2.37,7,3.52,5.16,3.23,7,7
4.92,6.56,2.12,7,2.36,3.07,4.56,7,3.25,1.89
4.17,2.35,2.85,7,3.93,2.02,2.42,7,1.67,3.01
6.48,1.97,5.24,4.18,6.58,5.71,7,7,1.43,3.2
7,4.11,6.84,7,1.57,7,7,7,6.23,4.27
3.0,2.04,5.56,7,4.85,7,7,1.72,4.87,2.81
2.92,5.85,6.85,1.55,3.31,7,7,7,7,6.22
2.62,2.07,5.36,7,6.39,7,5.44,5.45,2.92,4.45
2.58,7,2.04,4.43,5.66,7,3.01,2.11,2.96,6.82
2.69,7,3.48,5.62,7,6.45,4.51,3.03,6.01,7
6.83,7,4.52,6.4,2.54,4.09,2.78,3.67,5.35,4.2
2.8,4.42,7,7,6.92,7,3.78,7,6.04,7
7,4.43,7,5.01,7,6.83,2.97,6.14,2.98,6.62
6.95,7,7,2.94,5.92,5.55,4.97,3.69,5.66,4.43
3.52,4.73,2.38,7,7,7,4.73,6.66,7,5.71
4.07,6.9,5.76,1.84,3.9,3.57,4.32,6.24,2.87,6.14
7,5.3,2.63,7,4.96,7,4.04,5.72,2.37,2.65
2.58,7,7,7,5.76,5.03,6.64,7,7,1.9
1.67,6.86,5.41,4.84,7,6.83,5.44,2.3,7,7
7,7,5.84,6.88,2.58,1.84,2.17,6.52,2.64,7
7,3.7,7,3.39,7,4.47,5.13,7,1.42,7
6.24,3.45,4.64,3.71,4.09,7,1.84,6.66,7,4.32
1.68,7,2.13,1.88,4.96,6.44,6.05,7,3.21,7
3.9,5.33,1.72,7,1.58,2.89,4.37,6.24,6.67,6.52
6.5,7,5.12,2.63,2.18,4.02,7,7,7,7
3.78,5.18,4.18,6.14,5.86,7,5.14,7,6.36,4.64
2.15,7,7,7,2.94,3.12,1.82,2.31,6.02,1.79
7,3.26,7,3.9,3.47,2.16,7,5.37,4.25,7
7,7,7,5.44,6.52,7,7,7,7,3.14
4.31,2.29,2.28,7,4.44,7,7,6.68,1.97,6.53
6.27,4.98,5.54,2.35,7,7,1.89,5.78,5.73,6.36
7,7,4.09,7,1.67,5.43,6.99,4.94,7,7
7,4.67,3.64,6.13,2.43,2.33,2.49,6.56,1.54,7
6.3,7,5.78,6.99,2.92,3.95,4.0,4.59,7,4.02
2.79,5.77,4.33,4.0,3.87,4.28,5.77,2.56,2.05,7
5.03,7,2.43,7,7,3.26,6.97,3.76,1.86,7
5.6,6.91,5.49,4.03,7,6.76,2.04,2.28,7,2.3
4.55,1.73,6.2,7,4.35,5.3,5.43,6.52,7,6.6
6.12,7,4.21,6.33,7,4.11,7,6.87,6.5,5.52
7,7,7,7,2.77,4.39,1.78,6.16,3.73,5.1
3.61,7,4.1,1.61,5.5,6.72,1.49,6.33,7,7
1.48,2.84,5.44,1.65,6.36,7,5.89,5.31,2.44,7
7,7,2.41,7,2.92,6.98,2.07,7,7,7
7,7,7,6.25,1.64,3.87,7,7,6.48,4.72
5.96,7,7,5.43,1.52,3.13,4.1,7,6.14,4.78
7,4.11,7,7,7,1.9,7,2.14,2.15,6.82
7,7,1.77,2.15,4.83,3.33,7,7,1.59,7
7,3.44,6.17,6.84,3.12,7,2.44,7,7,2.17
5.35,4.3,3.19,4.91,1.98,3.28,3.05,7,7,7
3.19,3.39,7,7,4.28,1.48,2.63,4.13,4.76,4.38
2.14,5.51,4.54,4.09,7,7,4.72,7,4.55,7
6.93,5.82,4.57,7,4.06,5.69,4.47,5.48,3.47,7
6.07,1.59,1.6,7,7,4.95,1.66,2.73,7,7
7,6.26,7,5.49,6.09,6.79,5.04,3.05,7,3.3
4.55,2.83,6.59,1.79,7,7,4.96,7,2.5,2.68
6.74,5.97,5.97,6.62,7,7,6.82,5.95,6.43,7
2.86,3.45,4.88,5.85,7,7,4.2,7,7,2.8
6.62,4.16,6.87,7,1.83,3.5,2.66,2.72,6.03,2.92
7,4.68,7,6.49,4.06,2.92,3.77,7,3.41,1.53
3.17,3.94,2.09,4.15,5.85,7,5.45,7,6.99,7
6.5,2.38,3.87,7,7,3.1,6.03,7,7,7
3.39,6.22,3.41,7,5.5,7,7,4.19,7,4.37
7,7,1.57,1.53,7,7,1.96,7,7,1.48
5.49,7,6.0,1.68,2.79,5.33,6.61,7,7,4.29
6.02,3.3,1.55,6.71,2.49,3.45,3.02,4.69,7,7
7,7,7,5.52,5.95,2.37,5.86,2.46,2.28,3.96
6.35,7,4.56,4.08,6.47,7,7,4.34,7,2.03
5.81,3.94,2.07,7,4.1,7,4.13,4.66,5.23,4.28
3.97,6.14,5.26,7,6.48,2.26,5.14,7,5.32,7
1.77,4.96,3.13,7,4.35,4.6,7,7,1.94,4.47
7,2.52,5.88,7,7,7,4.89,2.95,3.08,6.13
6.6,7,3.89,6.62,7,2.87,7,2.07,7,7
2.88,7,7,4.6,6.16,2.7,7,3.21,7,4.67
2.91,6.64,7,4.62,4.02,3.38,6.33,7,7,2.05
2.0,5.44,1.99,4.55,6.44,4.71,3.25,5.39,7,7
7,7,5.84,7,2.95,1.83,5.47,3.61,3.0,5.39
6.17,3.59,2.07,2.12,4.45,6.25,2.56,6.21,6.34,4.41
7,7,6.8,7,7,2.44,4.19,7,6.39,6.01
4.62,2.37,3.82,7,3.1,3.74,2.09,6.11,7,5.96
3.42,6.89,5.63,5.75,2.82,2.5,6.72,7,3.16,6.42
2.07,3.0,2.49,7,7,5.98,5.63,4.88,4.67,7
7,5.8,2.07,4.87,5.02,4.5,7,2.52,1.81,7
7,7,3.54,3.27,7,1.59,5.19,7,5.05,3.07
5.92,1.44,7,2.45,7,5.39,7,7,7,7
4.25,7,2.89,4.22,2.88,2.85,3.68,1.84,7,5.75
7,4.74,1.81,7,1.92,4.87,3.16,7,6.82,5.16
4.93,7,6.33,4.02,3.3,2.11,6.18,7,7,7
7,1.71,7,1.42,5.61,7,6.89,7,6.44,2.03
5.72,1.78,7,7,2.71,5.92,7,2.35,5.34,3.23
3.75,1.73,6.91,7,7,7,2.0,4.42,7,5.6
7,7,6.71,5.71,1.7,7,2.82,7,4.83,6.89
7,7,2.1,3.51,3.46,3.9,7,4.39,3.07,7
6.53,3.62,3.69,6.34,6.24,7,4.17,7,7,5.65
7,6.59,7,3.22,6.36,5.57,2.05,4.54,5.89,6.3
5.04,7,7,6.2,3.07,3.88,5.38,6.11,2.03,3.91
7,3.33,6.83,5.33,6.38,4.83,1.47,7,5.6,7
7,5.16,7,6.41,2.19,7,5.59,7,3.37,3.45
4.48,7,2.83,7,2.93,5.77,2.08,1.59,5.14,7
7,7,7,6.19,4.51,7,7,7,7,6.91
4.04,7,3.92,6.63,5.1,7,7,5.36,4.49,6.12
5.93,2.66,3.89,5.49,7,1.71,7,7,7,4.89
4.67,7,7,3.88,2.99,4.62,6.42,7,5.82,7
7,7,2.99,5.19,7,5.43,7,7,1.73,4.05
3.24,5.45,7,7,2.78,2.57,7,7,5.61,7
7,7,7,4.7,7,4.36,7,2.81,7,4.68
4.89,6.16,7,2.38,3.75,6.63,7,7,2.23,2.97
4.87,6.22,7,3.69,7,3.46,7,6.21,6.33,3.84
5.02,3.61,7,7,3.12,1.85,3.18,5.99,7,7
7,7,4.21,3.72,2.99,7,5.6,3.88,7,2.6
2.03,6.21,4.65,7,1.62,4.78,6.1,3.07,4.22,5.63
7,7,5.93,6.56,1.81,1.56,3.94,6.54,6.4,5.6
7,4.83,3.37,1.87,7,7,5.13,5.56,4.55,7
2.75,6.28,2.6,7,2.68,7,7,4.26,7,5.85
7,6.59,2.74,5.52,1.82,6.56,1.69,7,4.91,5.94
2.79,3.8,1.42,2.79,2.64,5.24,7,2.52,5.7,7
7,2.82,6.42,7,7,7,7,7,7,4.78
5.03,3.76,3.65,4.6,1.77,7,5.27,7,4.43,7
1.9,2.7,2.57,1.72,4.59,7,4.94,7,1.91,2.35
4.94,1.75,4.72,6.61,7,1.7,7,7,7,4.77
6.69,5.73,6.73,3.37,6.25,6.27,7,4.61,3.8,7
3.85,4.2,6.75,7,5.54,5.04,7,5.02,6.84,7
7,7,5.54,6.29,7,3.68,5.21,7,3.17,7
6.81,2.33,3.7,4.38,6.18,2.12,4.62,2.06,4.11,6.31
6.55,7,7,7,7,6.37,6.4,7,7,5.06
7,5.24,6.88,7,5.8,7,7,3.17,3.92,7
1.58,2.49,1.84,7,5.64,3.94,3.34,7,7,6.42
6.5,3.16,2.05,7,5.38,7,6.97,7,5.35,6.88
6.2,2.33,1.82,1.78,1.92,7,7,2.81,2.02,5.89
3.23,6.75,4.1,4.84,6.32,6.9,2.03,5.75,2.12,4.77
5.53,6.48,7,5.12,7,7,7,5.24,6.89,5.98
2.08,6.45,7,5.78,7,7,7,7,2.82,3.33
7,4.98,2.04,1.57,6.5,7,7,7,2.67,4.38
3.35,7,7,2.41,5.12,7,4.74,7,5.35,2.72
7,4.37,7,3.04,4.33,7,4.16,6.92,3.2,2.52
7,7,5.33,5.76,3.83,3.38,1.97,2.14,3.46,7
6.49,7,7,4.52,3.86,3.94,3.27,6.05,7,7
6.1,3.12,7,7,3.81,5.81,4.55,7,4.56,1.95
6.68,6.37,1.9,7,7,7,6.66,5.58,7,3.23
4.56,1.9,7,2.19,5.96,1.83,5.62,7,7,7
3.28,7,4.39,2.13,4.8,5.79,7,6.51,6.88,4.99
7,5.77,1.51,7,5.81,4.57,7,4.94,7,4.34
4.71,2.61,7,1.61,7,3.09,4.58,4.63,7,3.11
7,2.91,7,4.49,6.71,6.83,7,7,2.69,1.52
5.62,2.22,7,3.3,5.82,7,4.85,5.84,1.45,7
3.73,7,1.68,7,7,2.5,2.82,7,6.88,2.54
5.84,6.36,3.77,7,6.95,7,3.21,6.22,7,7
3.25,2.46,7,3.16,3.54,6.89,2.7,7,2.28,4.62
